ID,Keyword,Type,Category,City,Route,CPC (INR),Search Volume,Competition
47,delhi hourly rental,City-Specific,Service,Delhi,,₹118.74,High,High
48,delhi full day taxi,City-Specific,Service,Delhi,,₹115.90,High,High
49,delhi half day taxi,City-Specific,Service,Delhi,,₹121.76,High,High
50,delhi intercity cab,City-Specific,Service,Delhi,,₹118.25,High,High
51,delhi interstate taxi,City-Specific,Service,Delhi,,₹118.35,High,High
52,delhi one way taxi,City-Specific,Service,Delhi,,₹116.68,High,High
53,delhi round trip cab,City-Specific,Service,Delhi,,₹125.30,High,High
54,delhi drop taxi service,City-Specific,Service,Delhi,,₹118.80,High,High
55,delhi pickup service,City-Specific,Service,Delhi,,₹138.58,High,High
56,delhi wedding taxi,City-Specific,Service,Delhi,,₹167.12,High,High
57,delhi wedding car rental,City-Specific,Service,Delhi,,₹161.02,High,High
58,delhi corporate taxi,City-Specific,Service,Delhi,,₹194.86,High,High
59,delhi business cab,City-Specific,Service,Delhi,,₹183.40,High,High
60,delhi tourist taxi,City-Specific,Service,Delhi,,₹137.73,High,High
61,delhi sightseeing cab,City-Specific,Service,Delhi,,₹110.49,High,High
62,delhi pilgrimage taxi,City-Specific,Service,Delhi,,₹125.36,High,High
63,delhi family taxi,City-Specific,Service,Delhi,,₹119.59,High,High
64,delhi group taxi,City-Specific,Service,Delhi,,₹128.92,High,High
65,delhi honeymoon cab,City-Specific,Service,Delhi,,₹122.90,High,High
66,delhi event taxi,City-Specific,Service,Delhi,,₹117.88,High,High
67,delhi party cab,City-Specific,Service,Delhi,,₹135.46,High,High
68,delhi conference taxi,City-Specific,Service,Delhi,,₹131.55,High,High
69,delhi meeting cab,City-Specific,Service,Delhi,,₹124.97,High,High
70,delhi tour taxi,City-Specific,Service,Delhi,,₹122.03,High,High
71,delhi 24x7 taxi,City-Specific,Service,Delhi,,₹128.14,High,High
72,delhi 24 hour cab,City-Specific,Service,Delhi,,₹110.15,High,High
73,delhi night taxi,City-Specific,Service,Delhi,,₹111.33,High,High
74,delhi late night cab,City-Specific,Service,Delhi,,₹119.71,High,High
75,delhi early morning taxi,City-Specific,Service,Delhi,,₹128.00,High,High
76,delhi weekend taxi,City-Specific,Service,Delhi,,₹112.53,High,High
77,delhi holiday cab,City-Specific,Service,Delhi,,₹119.98,High,High
78,delhi emergency taxi,City-Specific,Service,Delhi,,₹117.41,High,High
79,delhi instant cab,City-Specific,Service,Delhi,,₹129.86,High,High
80,delhi on demand taxi,City-Specific,Service,Delhi,,₹138.46,High,High
81,delhi gps taxi,City-Specific,Service,Delhi,,₹125.07,High,High
82,delhi ac cab,City-Specific,Service,Delhi,,₹128.08,High,High
83,delhi sanitized taxi,City-Specific,Service,Delhi,,₹118.17,High,High
84,delhi clean cab,City-Specific,Service,Delhi,,₹126.90,High,High
85,delhi safe cab,City-Specific,Service,Delhi,,₹112.71,High,High
86,delhi verified driver taxi,City-Specific,Service,Delhi,,₹133.17,High,High
87,delhi professional driver cab,City-Specific,Service,Delhi,,₹120.53,High,High
88,delhi lady driver taxi,City-Specific,Service,Delhi,,₹130.92,High,High
89,delhi women safe cab,City-Specific,Service,Delhi,,₹124.80,High,High
90,delhi comfortable taxi,City-Specific,Service,Delhi,,₹129.69,High,High
91,delhi spacious cab,City-Specific,Service,Delhi,,₹137.34,High,High
92,delhi music system car,City-Specific,Service,Delhi,,₹119.04,High,High
93,delhi wifi car rental,City-Specific,Service,Delhi,,₹129.66,High,High
94,delhi pet friendly taxi,City-Specific,Service,Delhi,,₹136.96,High,High
95,delhi child seat taxi,City-Specific,Service,Delhi,,₹114.52,High,High
96,delhi cheap taxi,City-Specific,Service,Delhi,,₹94.89,High,High
97,delhi affordable cab,City-Specific,Service,Delhi,,₹108.95,High,High
98,delhi budget taxi,City-Specific,Service,Delhi,,₹106.17,High,High
99,delhi low cost cab,City-Specific,Service,Delhi,,₹118.03,High,High
100,delhi economical taxi,City-Specific,Service,Delhi,,₹139.53,High,High
101,delhi best price cab,City-Specific,Service,Delhi,,₹116.20,High,High
102,delhi discount taxi,City-Specific,Service,Delhi,,₹133.16,High,High
103,delhi offer cab,City-Specific,Service,Delhi,,₹122.26,High,High
104,delhi competitive rates taxi,City-Specific,Service,Delhi,,₹110.35,High,High
105,delhi value for money cab,City-Specific,Service,Delhi,,₹134.20,High,High
106,delhi online taxi booking,City-Specific,Service,Delhi,,₹163.42,High,High
107,delhi instant cab booking,City-Specific,Service,Delhi,,₹169.16,High,High
108,delhi advance taxi reservation,City-Specific,Service,Delhi,,₹135.15,High,High
109,delhi quick cab booking,City-Specific,Service,Delhi,,₹163.51,High,High
110,delhi app taxi booking,City-Specific,Service,Delhi,,₹166.29,High,High
111,delhi website cab booking,City-Specific,Service,Delhi,,₹171.78,High,High
112,delhi phone taxi booking,City-Specific,Service,Delhi,,₹147.59,High,High
113,delhi whatsapp cab booking,City-Specific,Service,Delhi,,₹168.10,High,High
114,delhi easy taxi booking,City-Specific,Service,Delhi,,₹146.70,High,High
115,delhi hassle free cab booking,City-Specific,Service,Delhi,,₹148.01,High,High
116,agra taxi service,City-Specific,Service,Agra,,₹138.10,High,High
117,agra cab booking,City-Specific,Service,Agra,,₹145.96,High,High
118,agra car rental,City-Specific,Service,Agra,,₹125.82,High,High
119,agra taxi booking online,City-Specific,Service,Agra,,₹165.04,High,High
120,agra cab service online,City-Specific,Service,Agra,,₹125.13,High,High
121,agra car hire,City-Specific,Service,Agra,,₹114.14,High,High
122,agra taxi near me,City-Specific,Service,Agra,,₹122.52,High,High
123,agra cab near me,City-Specific,Service,Agra,,₹112.26,High,High
124,taxi service in agra,City-Specific,Service,Agra,,₹120.03,High,High
125,cab service in agra,City-Specific,Service,Agra,,₹111.92,High,High
126,car rental in agra,City-Specific,Service,Agra,,₹121.73,High,High
127,best taxi in agra,City-Specific,Service,Agra,,₹138.23,High,High
128,best cab in agra,City-Specific,Service,Agra,,₹127.50,High,High
129,cheap taxi in agra,City-Specific,Service,Agra,,₹91.29,High,High
130,affordable cab in agra,City-Specific,Service,Agra,,₹93.59,High,High
131,luxury taxi agra,City-Specific,Service,Agra,,₹256.57,High,High
132,premium cab agra,City-Specific,Service,Agra,,₹236.98,High,High
133,agra taxi company,City-Specific,Service,Agra,,₹135.85,High,High
134,agra cab company,City-Specific,Service,Agra,,₹137.70,High,High
135,agra car rental company,City-Specific,Service,Agra,,₹123.95,High,High
136,agra sedan taxi,City-Specific,Service,Agra,,₹115.24,High,High
137,agra suv rental,City-Specific,Service,Agra,,₹123.05,High,High
138,agra hatchback cab,City-Specific,Service,Agra,,₹121.40,High,High
139,agra innova taxi,City-Specific,Service,Agra,,₹116.83,High,High
140,agra ertiga cab,City-Specific,Service,Agra,,₹119.58,High,High
141,agra tempo traveller,City-Specific,Service,Agra,,₹110.94,High,High
142,agra mini bus rental,City-Specific,Service,Agra,,₹136.66,High,High
143,agra luxury car rental,City-Specific,Service,Agra,,₹263.74,High,High
144,agra ac taxi,City-Specific,Service,Agra,,₹124.46,High,High
145,agra 4 seater cab,City-Specific,Service,Agra,,₹123.54,High,High
146,agra 6 seater cab,City-Specific,Service,Agra,,₹118.40,High,High
147,agra 7 seater cab,City-Specific,Service,Agra,,₹137.70,High,High
148,agra swift dzire,City-Specific,Service,Agra,,₹127.84,High,High
149,agra honda city,City-Specific,Service,Agra,,₹125.23,High,High
150,agra toyota etios,City-Specific,Service,Agra,,₹116.25,High,High
151,agra airport taxi,City-Specific,Service,Agra,,₹183.44,High,High
152,agra airport cab,City-Specific,Service,Agra,,₹197.21,High,High
153,agra airport transfer,City-Specific,Service,Agra,,₹175.57,High,High
154,agra airport pickup,City-Specific,Service,Agra,,₹182.03,High,High
155,agra airport drop,City-Specific,Service,Agra,,₹183.63,High,High
156,agra railway station taxi,City-Specific,Service,Agra,,₹121.14,High,High
157,agra station pickup,City-Specific,Service,Agra,,₹138.78,High,High
158,agra outstation taxi,City-Specific,Service,Agra,,₹131.43,High,High
159,agra outstation cab,City-Specific,Service,Agra,,₹111.50,High,High
160,agra local taxi,City-Specific,Service,Agra,,₹133.48,High,High
161,agra local cab,City-Specific,Service,Agra,,₹120.05,High,High
162,agra hourly rental,City-Specific,Service,Agra,,₹117.27,High,High
163,agra full day taxi,City-Specific,Service,Agra,,₹117.35,High,High
164,agra half day taxi,City-Specific,Service,Agra,,₹116.53,High,High
165,agra intercity cab,City-Specific,Service,Agra,,₹133.52,High,High
166,agra interstate taxi,City-Specific,Service,Agra,,₹138.40,High,High
167,agra one way taxi,City-Specific,Service,Agra,,₹115.41,High,High
168,agra round trip cab,City-Specific,Service,Agra,,₹116.65,High,High
169,agra drop taxi service,City-Specific,Service,Agra,,₹111.09,High,High
170,agra pickup service,City-Specific,Service,Agra,,₹118.60,High,High
171,agra wedding taxi,City-Specific,Service,Agra,,₹167.85,High,High
172,agra wedding car rental,City-Specific,Service,Agra,,₹160.73,High,High
173,agra corporate taxi,City-Specific,Service,Agra,,₹186.75,High,High
174,agra business cab,City-Specific,Service,Agra,,₹174.60,High,High
175,agra tourist taxi,City-Specific,Service,Agra,,₹123.84,High,High
176,agra sightseeing cab,City-Specific,Service,Agra,,₹132.33,High,High
177,agra pilgrimage taxi,City-Specific,Service,Agra,,₹121.69,High,High
178,agra family taxi,City-Specific,Service,Agra,,₹122.10,High,High
179,agra group taxi,City-Specific,Service,Agra,,₹133.51,High,High
180,agra honeymoon cab,City-Specific,Service,Agra,,₹113.61,High,High
181,agra event taxi,City-Specific,Service,Agra,,₹127.90,High,High
182,agra party cab,City-Specific,Service,Agra,,₹123.63,High,High
183,agra conference taxi,City-Specific,Service,Agra,,₹138.02,High,High
184,agra meeting cab,City-Specific,Service,Agra,,₹112.41,High,High
185,agra tour taxi,City-Specific,Service,Agra,,₹139.23,High,High
186,agra 24x7 taxi,City-Specific,Service,Agra,,₹137.71,High,High
187,agra 24 hour cab,City-Specific,Service,Agra,,₹115.76,High,High
188,agra night taxi,City-Specific,Service,Agra,,₹110.22,High,High
189,agra late night cab,City-Specific,Service,Agra,,₹137.25,High,High
190,agra early morning taxi,City-Specific,Service,Agra,,₹111.47,High,High
191,agra weekend taxi,City-Specific,Service,Agra,,₹120.49,High,High
192,agra holiday cab,City-Specific,Service,Agra,,₹114.08,High,High
193,agra emergency taxi,City-Specific,Service,Agra,,₹115.17,High,High
194,agra instant cab,City-Specific,Service,Agra,,₹110.54,High,High
195,agra on demand taxi,City-Specific,Service,Agra,,₹120.50,High,High
196,agra gps taxi,City-Specific,Service,Agra,,₹112.87,High,High
197,agra ac cab,City-Specific,Service,Agra,,₹125.33,High,High
198,agra sanitized taxi,City-Specific,Service,Agra,,₹118.38,High,High
199,agra clean cab,City-Specific,Service,Agra,,₹127.77,High,High
200,agra safe cab,City-Specific,Service,Agra,,₹121.03,High,High
201,agra verified driver taxi,City-Specific,Service,Agra,,₹117.03,High,High
202,agra professional driver cab,City-Specific,Service,Agra,,₹112.41,High,High
203,agra lady driver taxi,City-Specific,Service,Agra,,₹118.34,High,High
204,agra women safe cab,City-Specific,Service,Agra,,₹132.72,High,High
205,agra comfortable taxi,City-Specific,Service,Agra,,₹134.09,High,High
206,agra spacious cab,City-Specific,Service,Agra,,₹133.71,High,High
207,agra music system car,City-Specific,Service,Agra,,₹136.95,High,High
208,agra wifi car rental,City-Specific,Service,Agra,,₹128.20,High,High
209,agra pet friendly taxi,City-Specific,Service,Agra,,₹121.02,High,High
210,agra child seat taxi,City-Specific,Service,Agra,,₹127.61,High,High
211,agra cheap taxi,City-Specific,Service,Agra,,₹113.13,High,High
212,agra affordable cab,City-Specific,Service,Agra,,₹91.14,High,High
213,agra budget taxi,City-Specific,Service,Agra,,₹100.22,High,High
214,agra low cost cab,City-Specific,Service,Agra,,₹126.95,High,High
215,agra economical taxi,City-Specific,Service,Agra,,₹136.87,High,High
216,agra best price cab,City-Specific,Service,Agra,,₹137.14,High,High
217,agra discount taxi,City-Specific,Service,Agra,,₹131.93,High,High
218,agra offer cab,City-Specific,Service,Agra,,₹116.85,High,High
219,agra competitive rates taxi,City-Specific,Service,Agra,,₹127.15,High,High
220,agra value for money cab,City-Specific,Service,Agra,,₹116.92,High,High
221,agra online taxi booking,City-Specific,Service,Agra,,₹162.32,High,High
222,agra instant cab booking,City-Specific,Service,Agra,,₹156.63,High,High
223,agra advance taxi reservation,City-Specific,Service,Agra,,₹116.67,High,High
224,agra quick cab booking,City-Specific,Service,Agra,,₹164.23,High,High
225,agra app taxi booking,City-Specific,Service,Agra,,₹159.41,High,High
226,agra website cab booking,City-Specific,Service,Agra,,₹173.64,High,High
227,agra phone taxi booking,City-Specific,Service,Agra,,₹152.19,High,High
228,agra whatsapp cab booking,City-Specific,Service,Agra,,₹157.53,High,High
229,agra easy taxi booking,City-Specific,Service,Agra,,₹153.60,High,High
230,agra hassle free cab booking,City-Specific,Service,Agra,,₹166.09,High,High
231,jaipur taxi service,City-Specific,Service,Jaipur,,₹113.88,High,High
232,jaipur cab booking,City-Specific,Service,Jaipur,,₹173.90,High,High
233,jaipur car rental,City-Specific,Service,Jaipur,,₹125.38,High,High
234,jaipur taxi booking online,City-Specific,Service,Jaipur,,₹150.23,High,High
235,jaipur cab service online,City-Specific,Service,Jaipur,,₹127.70,High,High
236,jaipur car hire,City-Specific,Service,Jaipur,,₹119.85,High,High
237,jaipur taxi near me,City-Specific,Service,Jaipur,,₹112.84,High,High
238,jaipur cab near me,City-Specific,Service,Jaipur,,₹127.52,High,High
239,taxi service in jaipur,City-Specific,Service,Jaipur,,₹117.60,High,High
240,cab service in jaipur,City-Specific,Service,Jaipur,,₹122.87,High,High
241,car rental in jaipur,City-Specific,Service,Jaipur,,₹112.85,High,High
242,best taxi in jaipur,City-Specific,Service,Jaipur,,₹125.11,High,High
243,best cab in jaipur,City-Specific,Service,Jaipur,,₹121.01,High,High
244,cheap taxi in jaipur,City-Specific,Service,Jaipur,,₹109.27,High,High
245,affordable cab in jaipur,City-Specific,Service,Jaipur,,₹100.05,High,High
246,luxury taxi jaipur,City-Specific,Service,Jaipur,,₹247.92,High,High
247,premium cab jaipur,City-Specific,Service,Jaipur,,₹241.44,High,High
248,jaipur taxi company,City-Specific,Service,Jaipur,,₹137.49,High,High
249,jaipur cab company,City-Specific,Service,Jaipur,,₹139.33,High,High
250,jaipur car rental company,City-Specific,Service,Jaipur,,₹138.19,High,High
251,jaipur sedan taxi,City-Specific,Service,Jaipur,,₹122.38,High,High
252,jaipur suv rental,City-Specific,Service,Jaipur,,₹133.17,High,High
253,jaipur hatchback cab,City-Specific,Service,Jaipur,,₹132.17,High,High
254,jaipur innova taxi,City-Specific,Service,Jaipur,,₹125.59,High,High
255,jaipur ertiga cab,City-Specific,Service,Jaipur,,₹114.31,High,High
256,jaipur tempo traveller,City-Specific,Service,Jaipur,,₹137.73,High,High
257,jaipur mini bus rental,City-Specific,Service,Jaipur,,₹116.20,High,High
258,jaipur luxury car rental,City-Specific,Service,Jaipur,,₹237.89,High,High
259,jaipur ac taxi,City-Specific,Service,Jaipur,,₹111.14,High,High
260,jaipur 4 seater cab,City-Specific,Service,Jaipur,,₹111.10,High,High
261,jaipur 6 seater cab,City-Specific,Service,Jaipur,,₹118.29,High,High
262,jaipur 7 seater cab,City-Specific,Service,Jaipur,,₹117.58,High,High
263,jaipur swift dzire,City-Specific,Service,Jaipur,,₹119.95,High,High
264,jaipur honda city,City-Specific,Service,Jaipur,,₹137.93,High,High
265,jaipur toyota etios,City-Specific,Service,Jaipur,,₹132.73,High,High
266,jaipur airport taxi,City-Specific,Service,Jaipur,,₹196.97,High,High
267,jaipur airport cab,City-Specific,Service,Jaipur,,₹195.23,High,High
268,jaipur airport transfer,City-Specific,Service,Jaipur,,₹176.72,High,High
269,jaipur airport pickup,City-Specific,Service,Jaipur,,₹192.45,High,High
270,jaipur airport drop,City-Specific,Service,Jaipur,,₹190.81,High,High
271,jaipur railway station taxi,City-Specific,Service,Jaipur,,₹111.76,High,High
272,jaipur station pickup,City-Specific,Service,Jaipur,,₹134.45,High,High
273,jaipur outstation taxi,City-Specific,Service,Jaipur,,₹121.40,High,High
274,jaipur outstation cab,City-Specific,Service,Jaipur,,₹136.16,High,High
275,jaipur local taxi,City-Specific,Service,Jaipur,,₹122.88,High,High
276,jaipur local cab,City-Specific,Service,Jaipur,,₹131.76,High,High
277,jaipur hourly rental,City-Specific,Service,Jaipur,,₹129.61,High,High
278,jaipur full day taxi,City-Specific,Service,Jaipur,,₹135.42,High,High
279,jaipur half day taxi,City-Specific,Service,Jaipur,,₹128.79,High,High
280,jaipur intercity cab,City-Specific,Service,Jaipur,,₹134.15,High,High
281,jaipur interstate taxi,City-Specific,Service,Jaipur,,₹135.59,High,High
282,jaipur one way taxi,City-Specific,Service,Jaipur,,₹115.81,High,High
283,jaipur round trip cab,City-Specific,Service,Jaipur,,₹130.57,High,High
284,jaipur drop taxi service,City-Specific,Service,Jaipur,,₹136.24,High,High
285,jaipur pickup service,City-Specific,Service,Jaipur,,₹125.59,High,High
286,jaipur wedding taxi,City-Specific,Service,Jaipur,,₹180.03,High,High
287,jaipur wedding car rental,City-Specific,Service,Jaipur,,₹182.91,High,High
288,jaipur corporate taxi,City-Specific,Service,Jaipur,,₹178.35,High,High
289,jaipur business cab,City-Specific,Service,Jaipur,,₹191.26,High,High
290,jaipur tourist taxi,City-Specific,Service,Jaipur,,₹122.76,High,High
291,jaipur sightseeing cab,City-Specific,Service,Jaipur,,₹133.17,High,High
292,jaipur pilgrimage taxi,City-Specific,Service,Jaipur,,₹125.64,High,High
293,jaipur family taxi,City-Specific,Service,Jaipur,,₹137.01,High,High
294,jaipur group taxi,City-Specific,Service,Jaipur,,₹122.57,High,High
295,jaipur honeymoon cab,City-Specific,Service,Jaipur,,₹116.40,High,High
296,jaipur event taxi,City-Specific,Service,Jaipur,,₹115.93,High,High
297,jaipur party cab,City-Specific,Service,Jaipur,,₹129.88,High,High
298,jaipur conference taxi,City-Specific,Service,Jaipur,,₹126.53,High,High
299,jaipur meeting cab,City-Specific,Service,Jaipur,,₹131.28,High,High
300,jaipur tour taxi,City-Specific,Service,Jaipur,,₹129.18,High,High
301,jaipur 24x7 taxi,City-Specific,Service,Jaipur,,₹124.17,High,High
302,jaipur 24 hour cab,City-Specific,Service,Jaipur,,₹129.87,High,High
303,jaipur night taxi,City-Specific,Service,Jaipur,,₹130.69,High,High
304,jaipur late night cab,City-Specific,Service,Jaipur,,₹132.01,High,High
305,jaipur early morning taxi,City-Specific,Service,Jaipur,,₹118.52,High,High
306,jaipur weekend taxi,City-Specific,Service,Jaipur,,₹135.59,High,High
307,jaipur holiday cab,City-Specific,Service,Jaipur,,₹137.18,High,High
308,jaipur emergency taxi,City-Specific,Service,Jaipur,,₹111.36,High,High
309,jaipur instant cab,City-Specific,Service,Jaipur,,₹132.61,High,High
310,jaipur on demand taxi,City-Specific,Service,Jaipur,,₹133.28,High,High
311,jaipur gps taxi,City-Specific,Service,Jaipur,,₹134.23,High,High
312,jaipur ac cab,City-Specific,Service,Jaipur,,₹115.09,High,High
313,jaipur sanitized taxi,City-Specific,Service,Jaipur,,₹127.48,High,High
314,jaipur clean cab,City-Specific,Service,Jaipur,,₹129.65,High,High
315,jaipur safe cab,City-Specific,Service,Jaipur,,₹113.07,High,High
316,jaipur verified driver taxi,City-Specific,Service,Jaipur,,₹119.24,High,High
317,jaipur professional driver cab,City-Specific,Service,Jaipur,,₹120.98,High,High
318,jaipur lady driver taxi,City-Specific,Service,Jaipur,,₹117.09,High,High
319,jaipur women safe cab,City-Specific,Service,Jaipur,,₹114.28,High,High
320,jaipur comfortable taxi,City-Specific,Service,Jaipur,,₹113.95,High,High
321,jaipur spacious cab,City-Specific,Service,Jaipur,,₹137.49,High,High
322,jaipur music system car,City-Specific,Service,Jaipur,,₹130.86,High,High
323,jaipur wifi car rental,City-Specific,Service,Jaipur,,₹133.01,High,High
324,jaipur pet friendly taxi,City-Specific,Service,Jaipur,,₹134.00,High,High
325,jaipur child seat taxi,City-Specific,Service,Jaipur,,₹111.06,High,High
326,jaipur cheap taxi,City-Specific,Service,Jaipur,,₹112.26,High,High
327,jaipur affordable cab,City-Specific,Service,Jaipur,,₹95.74,High,High
328,jaipur budget taxi,City-Specific,Service,Jaipur,,₹102.89,High,High
329,jaipur low cost cab,City-Specific,Service,Jaipur,,₹126.07,High,High
330,jaipur economical taxi,City-Specific,Service,Jaipur,,₹138.96,High,High
331,jaipur best price cab,City-Specific,Service,Jaipur,,₹122.07,High,High
332,jaipur discount taxi,City-Specific,Service,Jaipur,,₹127.77,High,High
333,jaipur offer cab,City-Specific,Service,Jaipur,,₹116.78,High,High
334,jaipur competitive rates taxi,City-Specific,Service,Jaipur,,₹116.74,High,High
335,jaipur value for money cab,City-Specific,Service,Jaipur,,₹133.04,High,High
336,jaipur online taxi booking,City-Specific,Service,Jaipur,,₹148.96,High,High
337,jaipur instant cab booking,City-Specific,Service,Jaipur,,₹161.88,High,High
338,jaipur advance taxi reservation,City-Specific,Service,Jaipur,,₹114.95,High,High
339,jaipur quick cab booking,City-Specific,Service,Jaipur,,₹165.98,High,High
340,jaipur app taxi booking,City-Specific,Service,Jaipur,,₹162.28,High,High
341,jaipur website cab booking,City-Specific,Service,Jaipur,,₹150.43,High,High
342,jaipur phone taxi booking,City-Specific,Service,Jaipur,,₹158.61,High,High
343,jaipur whatsapp cab booking,City-Specific,Service,Jaipur,,₹164.36,High,High
344,jaipur easy taxi booking,City-Specific,Service,Jaipur,,₹165.97,High,High
345,jaipur hassle free cab booking,City-Specific,Service,Jaipur,,₹172.40,High,High
346,haridwar taxi service,City-Specific,Service,Haridwar,,₹139.05,Medium,Medium
347,haridwar cab booking,City-Specific,Service,Haridwar,,₹157.64,Medium,Medium
348,haridwar car rental,City-Specific,Service,Haridwar,,₹130.13,Medium,Medium
349,haridwar taxi booking online,City-Specific,Service,Haridwar,,₹145.95,Medium,Medium
350,haridwar cab service online,City-Specific,Service,Haridwar,,₹130.42,Medium,Medium
351,haridwar car hire,City-Specific,Service,Haridwar,,₹114.07,Medium,Medium
352,haridwar taxi near me,City-Specific,Service,Haridwar,,₹138.57,Medium,High
353,haridwar cab near me,City-Specific,Service,Haridwar,,₹138.20,Medium,High
354,taxi service in haridwar,City-Specific,Service,Haridwar,,₹118.53,Medium,Medium
355,cab service in haridwar,City-Specific,Service,Haridwar,,₹127.58,Medium,Medium
356,car rental in haridwar,City-Specific,Service,Haridwar,,₹126.60,Medium,Medium
357,best taxi in haridwar,City-Specific,Service,Haridwar,,₹133.52,Medium,High
358,best cab in haridwar,City-Specific,Service,Haridwar,,₹113.96,Medium,High
359,cheap taxi in haridwar,City-Specific,Service,Haridwar,,₹98.38,Medium,High
360,affordable cab in haridwar,City-Specific,Service,Haridwar,,₹90.63,Medium,Medium
361,luxury taxi haridwar,City-Specific,Service,Haridwar,,₹239.31,Medium,Medium
362,premium cab haridwar,City-Specific,Service,Haridwar,,₹258.42,Medium,Medium
363,haridwar taxi company,City-Specific,Service,Haridwar,,₹129.24,Medium,Medium
364,haridwar cab company,City-Specific,Service,Haridwar,,₹133.95,Medium,Medium
365,haridwar car rental company,City-Specific,Service,Haridwar,,₹111.37,Medium,Medium
366,haridwar sedan taxi,City-Specific,Service,Haridwar,,₹138.23,Medium,Medium
367,haridwar suv rental,City-Specific,Service,Haridwar,,₹115.12,Medium,Medium
368,haridwar hatchback cab,City-Specific,Service,Haridwar,,₹115.43,Medium,Medium
369,haridwar innova taxi,City-Specific,Service,Haridwar,,₹138.67,Medium,Medium
370,haridwar ertiga cab,City-Specific,Service,Haridwar,,₹114.64,Medium,Medium
371,haridwar tempo traveller,City-Specific,Service,Haridwar,,₹129.41,Medium,Medium
372,haridwar mini bus rental,City-Specific,Service,Haridwar,,₹133.25,Medium,Medium
373,haridwar luxury car rental,City-Specific,Service,Haridwar,,₹241.51,Medium,Medium
374,haridwar ac taxi,City-Specific,Service,Haridwar,,₹112.36,Medium,Medium
375,haridwar 4 seater cab,City-Specific,Service,Haridwar,,₹112.29,Medium,Medium
376,haridwar 6 seater cab,City-Specific,Service,Haridwar,,₹118.22,Medium,Medium
377,haridwar 7 seater cab,City-Specific,Service,Haridwar,,₹120.39,Medium,Medium
378,haridwar swift dzire,City-Specific,Service,Haridwar,,₹135.76,Medium,Medium
